time	pagename	username	content	photo	video	link	kdv	kq	cmt	
23/07/25 - 22:20	FP - Chuyện của Hà Nội	Minh Khuê Lê	Mấy ngày nay, tin tức dồn dập khiến mỗi lần lướt điện thoại là một lần thấy lo. Lo sợ vì không biết ngày mai, ánh nắng còn có cơ hội chạm vào một cơ thể lành lặn, một tâm hồn nguyên vẹn hay không.   Đời người mong manh quá, cả trăm dự định, cả ngàn hoài bão, có thể vỡ tan chỉ trong một khoảnh khắc.   Có những điều tưởng là bình thường, như một ngày không đau ốm, một bữa cơm đủ đầy, một cuộc gọi còn nghe được giọng nhau, hoá ra lại là điều đáng mơ ước với rất nhiều người.   Dẫu biết sinh ly tử biệt khó tránh khỏi, vẫn mong mỗi giây, mỗi phút đều sống trọn để không phải hối tiếc.  Bình yên mà mình có hôm nay, không phải là thứ hiển nhiên. Nó là món quà đáng quý nhất mà mình cần trân trọng.  Chỉ mong tất cả bình an. Thương.	519416424_30402720712705816_9128176348292150522_n.jpg			Dũng	L		
23/07/25 - 23:06	FP - Chuyện của Hà Nội	Minh Khuê Lê	Tình yêu đôi khi chỉ đơn giản vậy thôi. Không giàu sang phú quý, nhưng đủ đầy quan tâm, thấu hiểu    | Video: l225053		519430132_9766977326742220_4680230750506644212_n.mp4		Dũng	L		
24/07/25 - 09:21	FP - Chuyện của Hà Nội	Minh Khuê Lê	Tus: Buổi sáng vui vẻ: Dính mưa ướt sũng, thang máy hỏng, muộn chấm công				Dũng	L		
24/07/25 - 10:14	FP - Chuyện của Hà Nội	Minh Khuê Lê	QUÂN DÂN NHƯ CÁ VỚI NƯỚC VƯỢT QUA LŨ LỤT Ở NGHỆ AN  Do ảnh hưởng của hoàn lưu bão số 3, nhiều địa phương ở Nghệ An hứng chịu trận lũ lịch sử, khiến 1 người thiệt mạng, 1 người mất tích, 4 người bị thương, gây ngập hơn 3.200 nhà dân, chia cắt giao thông và gây nhiều thiệt hại lớn.   Trước tình hình khẩn cấp, hàng trăm cán bộ, chiến sĩ bộ đội, công an, biên phòng đã được huy động để cứu hộ để lại nhiều hình ảnh xúc động về tình quân dân ấm áp.  Mong cho bà con bình an vượt qua lũ lụt và sớm khắc phục được thiệt hại do thiên tai để lại. Thương lắm.  | Theo Vietnamnet	519497438_750647637458676_6263274111881708725_n.png 523935503_1673650220001654_9114859014981523545_n.png 520463189_2136758393470498_4223530593488508349_n.png 522644866_10059064937554569_7649580470960803283_n.png 519458453_24555438194048323_3291216186431214962_n.png			Dũng	L		
24/07/25 - 10:14	FP - Chuyện của Hà Nội	Minh Khuê Lê		520861250_1084797913618793_9057528431615423454_n.png 522205623_1313316043543409_746552949835533524_n.png			Dũng	L		
24/07/25 - 10:14	FP - Chuyện của Hà Nội	Thanh Bình	Mảnh giấy nhỏ, nét bút mực Hero ghi lại thông tin báo tử từ chiến trường.  Người chiến sĩ ấy 29 tuổi, có thể đã hơn 10 năm biền biệt xa nhà, xa quê đi chiến đấu vì Tổ quốc (Bởi chiến tranh - đâu phải hòa bình, người lính ít có chế độ phép, tranh thủ để đi).  5 giờ sáng, thời khắc anh ngã xuống, có lẽ là thời khắc trận đánh bước vào giai đoạn cam go, quyết định  Tổ quốc mãi tri ân các anh!  cre: dokimthanh52852	522363340_1987659111773164_9075754369756901798_n.jpg			Dũng	L		
24/07/25 - 10:14	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh		521110748_722311283919551_2516033763621982901_n.png			Dũng	L		
24/07/25 - 12:13	FP - Chuyện của Hà Nội	Nguyễn Đức Trọng	Có biệt danh ở nhà rất vui cho đến khi nó làm lu mờ luôn chính tên khai sinh của bạn				Dũng	L		
24/07/25 - 12:13	FP - Chuyện của Hà Nội	Khánh Ly Nguyễn		523507770_719930780800914_451769285245029384_n.png 520779848_1369192374625820_1861052891916450623_n.png 521339849_2917559025298645_28024151818974591_n.png 521083890_1285041169680022_8977539082441552629_n.png 522983036_3659519771010544_1757092232740575776_n.png 521458034_1750796285527393_391449038252451901_n.png 521444900_779049311227608_346881563004004361_n.png 522707001_1058419082935474_3616966578652670808_n.png 521313403_1837494623479957_7667491319132517420_n.png 520167838_2517467791946138_5222894504611244873_n.png			Dũng	L		
24/07/25 - 14:51	FP - Chuyện của Hà Nội	Khánh Ly Nguyễn	Có ai để ý là cứ 10 cái sound hài hài trên Tiktok thì cũng phải cỡ 6,7 sound là tiếng miền Nam rồi không?   “Bà nói thiệt hả bà Thơ” “Sao chị tốt với em vậy? Em hông phải là lét”  “Trời ơi trời ơi cú tui cú tui trời ơi”  “Hông cái kiểu nó zây đó, cái kiểu của nó là như zậy đó”   Công nhận giọng miền Nam có tính giải trí cao hẳn, vừa dễ thương mà vừa đáo để sao á =)) Cứ lúc nào mà cần khen ngợi, nói đùa hoặc diễn tiểu phẩm vui vui cái là tự động chuyển tiếng miền Nam cho hợp mood liền =)))				Dũng	L		
