time	pagename	username	content	photo	video	link	kdv	kq	cmt	
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Trần Thanh Hà	Hà Nội nắng nóng kỷ lục, nhiều nơi cắt điện ngày 5/8   Theo Dân trí	525238250_1477683730079719_151528572239590566_n.jpg			Vũ	L		
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Trần Thanh Hà	Hơn 20 phường, xã bị ảnh hưởng theo lịch cắt điện trên toàn thành phố Hà Nội trong ngày 5/8 mà EVN Hà Nội cập nhật.  Theo kế hoạch lịch ngừng cung cấp điện công bố của Tổng Công ty Điện lực Hà Nội (EVNHANOI), trong ngày 5/8, một số khu vực trên địa bàn các xã, phường như Kim Liên, Văn Miếu - Quốc Tử Giám, Thanh Xuân, Khương Đình, Yên Nghĩa, Phú Lương, Kiến Hưng... dự kiến sẽ tạm ngừng cung cấp điện trong khoảng thời gian nhất định.  Theo Dân trí			https://dantri.com.vn/kinh-doanh/ha-noi-nang-nong-ky-luc-nhieu-noi-cat-dien-ngay-58-20250805061451530.htm	Vũ	L		
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Trần Thanh Hà			526775507_30708208005494066_1271355763017142054_n.mp4		Vũ			
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Trần Thanh Hà	Từ chiều tối nay, miền Bắc đón mưa rất lớn  Theo Báo Tiền Phong	526573413_1460384458638585_5777312439451544812_n.png		https://tienphong.vn/tu-chieu-toi-nay-mien-bac-don-mua-rat-lon-post1766487.tpo	Vũ	L		
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	ĐỈNH NÓC: CUỐI TUẦN NÀY PHỐ ĐI BỘ LẠI CÓ CHƯƠNG TRÌNH CHO ANH EM THỦ ĐÔ  Liên tục là những sự kiện trước thềm A80 nhé bà con, cuối tuần này sẽ tổ chức Lễ ra quân đảm bảo an ninh trật tự, diễu hành quy mô lớn nhân kỷ niệm 80 năm Cách mạng Tháng Tám thành công, Quốc khánh 2/9 và Ngày hội Vì Thủ đô bình yên.   Thời gian: 7h30 ngày 10/8/2025  Địa điểm: Khu vực Tượng đài Vua Lý Thái Tổ và phố Đinh Tiên Hoàng, phường Hoàn Kiếm, Hà Nội.  Tháng 8 quá tuyệt vời rồi, tháng 9 sẽ còn đỉnh hơn nữa, đừng bỏ lỡ nhé!  Theo An ninh thủ đô	526041399_771187562090746_2358880078319463433_n.jpg 525235155_2002657297230884_8968069236651237356_n.jpg 525795027_1928036497980406_1642692391800951433_n.jpg 528032584_2298616787323901_1439291158740515280_n.jpg 526433660_1324434412523952_6982047849775150206_n.jpg 524176414_1511925786647562_3711408391486263133_n.jpg 517801063_774971181656911_7918124470041949207_n.jpg 524143720_2810170852512335_652368705023607114_n.jpg 524633813_1485889496067447_2548080433693973297_n.jpg 524148216_724276103780199_2973289491432078164_n.jpg 524159975_638580142080162_6746985672738316303_n.jpg 527478814_1751543299083444_4139957398921892287_n.jpg 524183144_1175432451271830_6325893403887420553_n.jpg		https://www.anninhthudo.vn/nhin-tu-flycam-buoi-hop-luyen-dieu-binh-dieu-hanh-an-tuong-cua-cong-an-ha-noi-chuan-bi-cho-ngay-hoi-vi-thu-do-binh-yen-post619336.antd	Vũ	L		
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Thanh Bình	Hôm nay 5/8/2025 -  Ngày ngắn nhất lịch sử, nhưng thời gian chờ lương về vẫn dài hơn cả thế kỷ.				Vũ	L		
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Trần Thanh Hà	Cap:    Mỗi icon này được ko anh ưi				Vũ			
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Thanh Bình	Okee e ui	524929889_1186769243173404_5692378633421776250_n.jpg 526158494_689051030845547_6729874134089536944_n.jpg 526206105_1445126020108309_5175025585988359288_n.jpg 527548722_1483333726031427_2241386682202644661_n.jpg 525958164_825804716634370_7662709051036877_n.jpg 527777837_825469966625780_6789555736408517209_n.jpg 525795241_685253351229991_4348058083728830697_n.jpg			Vũ			
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Bình	"Sự cố điện ở chung cư: ổ điện dự phòng cũng ""đi nghỉ"", thang máy bị cắt, đêm hè oi ả biến cả tòa nhà thành lò nung. Thế mà cư dân vẫn có thể “cười té ghế” cả đêm trong group chat. Thôi thì lạc quan là được   Nguồn: Phương Anh"				Vũ	L		
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Thanh Bình			528769775_24277890265177077_4536633029880173134_n.mp4		Vũ	1	Che biển số	12
05/08/25 - 08:45	FP - Chuyện của Hà Nội	Minh Khuê Lê	Bố mẹ ngoài đời: Cách 30p lại có 1 trận cãi nhau Bố mẹ trên tin nhắn:    | Chia sẻ từ bạn Kim Anh	526312579_1303546674695986_5418257703731150012_n.jpg 526167194_802648255428485_4138689685028011902_n.jpg 525980486_1088292842829587_1191391371288642241_n.jpg 525984856_24436775065947128_5826189101628343935_n.jpg 525157632_708131615524504_5323518767904688371_n.jpg			Vũ	L		
05/08/25 - 10:45	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	"bên EVN HN gửi chị post này, bảo: ""k cắt điện đâu e nhé. Trừ khi sự cố thì phải khắc phục thôi"""	527793527_1397389994850547_7338560453516311714_n.png			Vũ			
