time	pagename	username	content	photo	video	link	kdv	kq	cmt	
07/08/25 - 23:40	FP - Chuyện của Hà Nội	Nguyễn Đức Trọng	@Minh Vũ ơiiiiii	527835817_1818182395801538_3620159318309472851_n.png			Vũ		
07/08/25 - 23:40	FP - Chuyện của Hà Nội	Nguyễn Đức Trọng	@Minh Vũ ơi ru con ngụ xong chưa ahuu @Minh Vũ @Minh Vũ oiiiii				Vũ		
07/08/25 - 23:40	FP - Chuyện của Hà Nội	Nguyễn Đức Trọng	@Minh Vũ  oiiiiii				Vũ		
08/08/25 - 08:20	FP - Chuyện của Hà Nội	Nguyen Ngoc	| 08 . 08 . 2025 - Rằm tháng 6, nắng về lại sau ngày lập thu |  Có những chuyện con người chỉ có thể chấp nhận chứ không làm gì khác được, ví dụ như mong thu nhưng lại thức dậy trong tiết trời hè…  Nếu mình tin vào chuyện tốt thì chuyện tốt sẽ tới, nghĩ vậy đi, cứ tin rằng hôm nay thật sự là một ngày đặc biệt may mắn (8/8 trùng với rằm tháng 6), cứ tin rằng những ngày tới sẽ dễ dàng hơn đi.  Ngày hôm nay sẽ nóng đó, che chắn cẩn thận, đi sớm về sớm, nốt nay là được thưởng 2 ngày cuối tuần nghỉ xả hơi rùii  Chúc một ngày zuii  Mận  : Trưởng Bé đăng trong Chuyện của Hà Nội group				Vũ	L	
08/08/25 - 08:20	FP - Chuyện của Hà Nội	Nguyen		523847994_2952684264915821_6986246265416576283_n.jpg			Vũ	L	
08/08/25 - 08:20	FP - Chuyện của Hà Nội	Nguyen Ngoc	Có ai onl k ạ				Vũ		
08/08/25 - 08:20	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Có anh nè				Vũ	L	
08/08/25 - 08:47	FP - Chuyện của Hà Nội	Trần Thanh Hà	Khi người tham gia giao thông ở Hà Nội sản xuất theo lô:	528303663_603056372659405_1050608179746238163_n.jpg			Vũ	L	
08/08/25 - 09:15	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	CẦU NHẬT TÂN: XE MÁY VA CHẠM Ô TÔ TRÊN CẦU NHẬT TÂN, MỘT NGƯỜI TỬ VONG   Vào khoảng 4h30' sáng nay (08/08/2025) trên cầu Nhật Tân đã xảy ra một vụ TNGT giữa xe moto phân khối lớn, xe tải và xe ô tô con. Hậu quả, người đàn ông điều khiển xe mô tô tovong tại chỗ.   Theo chia sẻ của người dân, vụ va tai nạn xảy ra giữa 3 phương tiện đó là xe tải với xe con và xe máy. Được biết, khi 3 phương tiện đang lưu thông hướng đi sân bay thì xe máy va chạm với xe tải rồi ngã ra đường, đúng lúc này chiếc xe con đi tới… và khiến người điều khiển xe máy tử vong tại chỗ.  Hiện lực lượng chức năng đã có mặt phân luồng cũng như giải quyết hiện trường. Giao thông ùn dài theo hướng đi sân bay.  Theo VOV Giao Thông	"526674036_4123050701288818_8997109171191451012_n.jpg 514023848_646142878504747_6520916478353315689_n.jpg 526384193_1294075868840821_5947661410530468862_n.jpg 529401857_751627704398284_783335607778135934_n.jpg 527370165_772983535188243_4555798054355292148_n.jpg 526951335_4215123418814314_5883983396716579000_n.jpg"			Vũ	L	
08/08/25 - 09:15	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn		521688329_1239312174551301_4929803358261267939_n.png			Vũ		
