time	pagename	username	content	photo	video	link	kdv	kq	cmt	
28/07/25	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Sáng nay tại Cảng tàu quốc tế, Bãi Cháy, Đại lễ cầu siêu tưởng niệm 39 nạn nhân gặp nạn trên tàu Vịnh Xanh 58 tại Vịnh Hạ Long đã diễn ra trong không khí đầy xúc động.  Mong cho các nạn nhân sớm được siêu thoát về cảnh giới lành Tây Phương cực lạc. Mong các nạn nhân ra đi thanh thản    Theo Fanpage Quảng Ninh 24/7	521155098_1059340806329513_6398269587225040428_n.jpg 523257019_10013099425466370_3697997025654479955_n.jpg 521664885_1265262698439983_1525298063733858322_n.jpg 521423710_1387735642306554_4644679777557390272_n.jpg			Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	4 Ô TÔ VA CHẠM LIÊN HOÀN TRÊN ĐẠI LỘ THĂNG LONG, NHIỀU ANH EM SÁNG NAY CHẤM CÔNG MUỘN   Lực lượng chức năng đang làm rõ vụ tai nạn liên hoàn giữa 4 ô tô trên đại lộ Thăng Long, Hà Nội. Vụ việc khiến giao thông bị ùn ứ theo hướng từ Thạch Thất vào nội thành.  Theo cảnh sát, khoảng 6h ngày 28/7, bốn ô tô di chuyển trên đường cao tốc đại lộ Thăng Long đến đoạn km7, phường Tây Mỗ, TP Hà Nội, bất ngờ xảy ra va chạm liên hoàn.  Vụ việc không gây thiệt hại về người, tuy nhiên 4 phương tiện bị hư hỏng nhẹ.   Theo Báo Dân Trí	521662130_621007451063828_3054369568438415879_n.jpg 524221986_1521700809238527_5009282796571283552_n.jpg 518878686_1149303133676093_5010157028182647061_n.jpg 523314338_1404010547566084_6519893397201473379_n.jpg		https://dantri.com.vn/xa-hoi/bon-o-to-va-cham-lien-hoan-tren-dai-lo-thang-long-20250728091122330.htm	Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	1 nữ nhân viên tại tụ điểm massage “A đến Á” có thu nhập 100 triệu/tháng: “Em chỉ nghĩ đi làm bình thường cũng đâu có tiền vậy đâu. Một vài năm nữa mình có tiền thì mình nghỉ, mình đi làm nghề khác...” Theo VTV	517422138_1888576771985231_7217410361004347050_n.jpg		https://www.youtube.com/watch?v=1gjqZN9ebVw	Dũng	Sửa/ xóa bài - cơ bản	Thêm dòng “Hiện tụ điểm này đã bị công an triệt phá và bị xử lí theo quy định pháp luật”, dễ thành cổ súy	"""Hàng hóa và dịch vụ bị hạn chế"""
28/07/25	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	Những địa điểm 'vàng' dự kiến trở thành trạm sạc xe điện ở Hà Nội  Hiện có 4 vị trí ở vành đai 1 khu vực phía Nam được khảo sát và xác định đủ điều kiện để bố trí làm chỗ để xe kết hợp trạm sạc cho xe điện.  1. Khu vực vỉa hè và khoảng đất trống dọc tuyến đường Trần Khát Chân (Vành đai 1) đoạn ngã tư Bạch Mai đến đoạn giao với phố Lạc Nghiệp dài hơn 500m.  2. Bãi xe ở khu đất trống tại nút giao Xã Đàn - Giải Phóng (trước trụ sở Tổng công ty Hàng hải Việt Nam)  3. Khu đất trống từ số nhà 621 - 768 đường Đê La Thành   4. Khu đất trống tại nút giao đường Đê La Thành (Vành đai 1) - Kim Mã - Cầu Giấy theo chiều Cầu Giấy - Đê La Thành, cạnh trụ sở Đại sứ quán Nga.  Theo Vietnamnet	522370952_741152518785075_3146698572895494280_n.png			Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	Mỗi dịp tháng 9 về, màu cờ đỏ như rực hơn trên từng con phố. Tiếng Quốc ca không chỉ là một bài hát, mà là lời hứa âm thầm giữa thế hệ hôm nay với thế hệ đã nằm xuống.  Hà Nội, nơi chứng kiến ngày độc lập được cất tiếng đầu tiên cho đến hôm nay vẫn là trái tim gìn giữ ký ức và tiếp nối khát vọng.  Chuyện của Hà Nội chính thức khởi xướng chiến dịch “Tiếp lửa tự hào”, như một lời mời gọi cộng đồng cùng nhau:    Nhìn lại lịch sử không phải để hoài niệm, mà để biết mình đến từ đâu.   Tôn vinh những con người âm thầm vun đắp giá trị Việt trong đời sống hôm nay.   Và thắp lên niềm tự hào trong mỗi trái tim người trẻ.    Hãy cùng chúng tôi lan toả ngọn lửa ấy bằng những câu chuyện, hình ảnh, hành động nhỏ bé mà đầy ý nghĩa.  Để tinh thần độc lập, tự cường không chỉ sống trong sách vở, mà sống trong chính đời thường.  #Tiepluatuhao	524307692_1290327722455008_7579697684593713176_n.jpg			Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Trần Thanh Hà	Và lại 1 tuần nữa cống hiến cho công ty ấy   Ảnh: quanvii	524395336_1445508240026000_4408783236475536789_n.jpg			Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Thanh Bình	| CHỮ TỔ QUỐC NẰM TRONG CÂU MẸ DẶN  Có những câu nói tuy giản dị nhưng đủ khiến chúng ta phải suy ngẫm…				Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Trần Thanh Hà	BẠN ƠI, LÀM TÍ BINGSU GIẢI NHIỆT KHÔNG  Mách bạn vài quán bingsu mát lạnh cho ngày Hà Nội nắng như đổ lửa. Tan học, tan làm rủ nhau đi ăn cho đỡ bực bội nha	525625705_775863695014652_5515597123107441791_n.jpg 522170091_718952860967261_891960786560514070_n.jpg 522866100_1183796336804641_5321084709415826263_n.jpg 524112930_808809431471719_3115905893165971998_n.jpg 523413448_1938076653607826_3380366778736830836_n.jpg 524071296_726215593458635_7526786504389902550_n.jpg 522124091_1515485109815387_8336889691874729343_n.jpg 521704464_610973302057562_2591368782308982083_n.jpg 522141221_1955114061999833_8176323565897385918_n.jpg			Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Lê Giang Uyên	“Nếu tôi không cháy lên, nếu anh không cháy lên, nếu chúng ta không cháy lên, thì làm sao bóng tối có thể trở thành ánh sáng?”  Hướng tới Kỷ niệm 80 năm Ngày Quốc Khánh 2/9, Nghề Mới khởi động chiến dịch “Tiếp lửa tự hào” như một cách để “thắp lên ánh sáng”, bằng sự tiếp nối và bằng cả khát vọng của thế hệ hôm nay.  Chúng tôi tin rằng, 2/9 không chỉ là ngày để nhớ về lịch sử, mà còn là dịp để mỗi chúng ta nhìn lại xem: “Mình đang gìn giữ điều gì? Đang thắp lên điều gì?” cho đất nước, cho cộng đồng, và cho cả chính mình ngày hôm nay.  “Tiếp lửa tự hào” là lời mời gọi bạn cùng tri ân những người đi trước, và tiếp lửa cho tương lai. Ngọn lửa của tinh thần Việt, của văn hóa Việt, của tình yêu đất nước cháy âm ỉ mà mạnh mẽ trong mỗi người trẻ.  Hãy theo dõi và trở thành một phần của hành trình này nhé!  Vì trong chúng ta, ai cũng có một ngọn lửa cần được thắp lên.  #tiepluatuhao	524312041_1273150434308344_2063758457882673374_n.jpg			Dũng	Duyệt		
28/07/25	FP - Chuyện của Hà Nội	Trần Thanh Hà	Tôi yêu sự phong phú của Tiếng Việt	524466812_1281065927060439_1527931523640311267_n.jpg			Dũng	Duyệt		
